id_softwerk;COD PRODUCTO;NOMBRE PRODUCTO
2147;O-27;CARGA TUBO DE OXIGENO
1789;CAR;CARGAS DE OXIGENO 6 MTS3 CON MANOMETRO
16115;10967;CATETER COMPACTO (28524) CAJA X 20
8000;9099;CATETER DE MOUNT
11097;10903;CATETER DE SUCCION TIPO k30 C/REG KANGUYAN
13937;11030;Cateter embolectomia (Fogarty) 3fr 80cm HAGMED
13938;11031;Cateter embolectomia (Fogarty) 4fr 80cm HAGMED
10455;10455;CATETER INTRAVENOSO ABBOCATH Nº 14
6134;CAT 16;CATETER INTRAVENOSO ABBOCATH Nº 16
1950;9837;CATETER INTRAVENOSO ABBOCATH Nº 18
7560;500;CATETER INTRAVENOSO ABBOCATH Nº 20
8185;9658;CATETER INTRAVENOSO ABBOCATH Nº 22
8184;8955;CATETER INTRAVENOSO ABBOCATH Nº 24
11004;10780;Catéter kanguyan k30
10456;10456;CATETER KANGYUAN K29 PC/R
11029;10797;Catéter Nexiva n° 18
11030;10798;Catéter Nexiva n° 20
16116;10969;CATETER SONDA (28508) CAJA X 30
14565;11911;CEFALEXINA SUS 500/5 ML X 120 ML
7314;7314;CINTA ADHESIVA HIPOALERGENICA X 2.5 CM
7315;7315;CINTA ADHESIVA HIPOALERGENICA X 5 CM
7683;9018;CINTA DE SEDA X 2,5 CM
7555;7365;CINTA HILERA X ROLLO
8084;9108;CINTA HIPAFIX 10 X 10
11688;10699;CINTA HIPAFIX 5 CM
6497;CINMA;CINTA HIPOALERGENICA MACROPORE 5 CM
8253;220;CINTA HIPOALERGÉNICA MICROPORE 5CM
11113;10910;Cinta tela adhesiva impermeable 2.5 cmx9mt
10457;10457;CINTA TRANSPORE 2,5CM
10458;10458;CINTA TRANSPORE 5CM
3097;D-128;CINTAS DE SEDA 5cm
4241;8899;CIRCUITO CERRADO 14 FR REF. 22103-5 HALYRAD 30,5CM
16187;10982;CIRCUITO MONORAMA PARA ASTRAL 150
8198;4658;CIRCUITO P/ RESPIRADOR PEDIÁTRICO UNIVERSAL C/ 2 TRAMPAS DE AGUA
16050;10553;CIRCUITO PARA RESPIRADOR ADULTO
13390;11116;CLARITROMICINA 250 ML
2037;M-02;CLOBAZAM 10 MG
13559;11120;Clorandenicol crema x 30g
14679;11902;CLORHEXIDINA 2% X 500
7556;7366;CLORHEXIDINA 4% 1 L
8121;489;CLORHEXIDINA 4% 250ML
7935;961;CLORHEXIDINA 4% X 500ML
8254;221;CLORHEXIDINA SPRAY 60ML
11014;10795;Clorhidrato cefepime x 2 gr
10459;10459;CLOTRIMAZOL CREMA
8159;7399;CODO GIRATORIO CON TUBO
8006;9102;COFIA
8895;8565;COLAGEN-CLORANF UNG X 50GR
7317;7317;COLLARINES
16272;11201;COLLARINES AURICO PEDIATRICOS
10460;10460;COLLARINES AURINCO
7936;9061;COLLARINES YAFHO
11164;10913;COMPRESAS ABSORVENTES ANTIMICROBIANAS 5X5 PARA BOTON GASTIRCO COVIDIEN
11165;10914;COMPRESAS ABSORVENTES ANTIMICROBIANAS PARA TQT 10X10 COVIDIEN
7557;7367;CONECTOR DE TUBO T
10461;10461;CONECTOR OXIGENO P-52 511 FAB
8984;2388;CONECTOR RECTO RESPIRADOR
10462;10462;CONECTOR T CON PROLONGACION
1963;D-50;CONTENEDOR PARA ALIMENTACION ENTERAL X750
13387;11113;CORTEROID BETAMETASONA 30 ML
14236;11923;CREMA BATICOR COMPLEX X 20 GR
12837;11001;Dermaglos emulsion 400gr
1957;D-44;DESCARTADOR 2,2 LTS
10463;10463;DESCARTADOR DE AGUJA 1LT
8138;483;DESCARTADOR DE AGUJA 4LT
11013;10794;Descartador de agujas 0,5 lts
11936;1566;Detergente Trienzimatico x 1000 cc
11753;10950;DEXAMETASONA 8MGX 20 COMPRIMIDOS
12144;10958;DEXAMETASONA AMP
13418;11119;DIBEN DRINK VAINILLA 200 ML
1310;DICLO;DICLOFENAC AMPOLLA
11345;10931;Difusor de 500ml
12143;10957;DIPIRONA AMP
15493;11940;DISADUL PAÑALES XG C/GEL
14959;11997;Dispenser de servilletas de toallas intercaladas doble carga con visor
15489;11936;DITROPAN JARABE X200 ML
12270;10960;DIVALPROATO DE SODIO 500 MG X 60 COMP
