Cód. Producto;Producto;costo;ultima actualizacion de precio
10456;CATETER KANGYUAN K29 PC/R;0.00;19/12/2025
10797;Catéter Nexiva n° 18;0.00;19/12/2025
10969;CATETER SONDA (28508)  CAJA X 30;0.00;19/12/2025
11911;CEFALEXINA SUS 500/5 ML X 120 ML;0.00;19/12/2025
LIMP 100;Cepillo lava coche;0.00;19/12/2025
LIMP 98;CERA LIQUIDA X LITRO;4,303.85;26/12/2025
LIMP20;Ceramicol rojo 800ml;0.00;19/12/2025
LIB 108;Cesto papelero (tacho basura);0.00;19/12/2025
LIB 111;Chinches pizarra corcho;0.00;19/12/2025
LIMP29;Cif crema 375 gr;0.00;19/12/2025
LIMP12;Cif crema 750 ml;0.00;19/12/2025
LIB55;Cinta adhesiva (chica) 18mm. x 25mts.;0.00;19/12/2025
LIB90;"Cinta adhesiva (con descripcion ""fragil"") 48x40";0.00;19/12/2025
LIB 128;Cinta adhesiva (de embalar) 48X100 transparente;0.00;19/12/2025
LIB16;Cinta adhesiva (de embalar) 48X40 transparente;0.00;19/12/2025
LIB 131;Cinta adhesiva (de embalar) 48X90 transparente;1,001.10;29/12/2025
CINTAC;CINTA ADHESIVA DE PAPEL 5 CM;0.00;19/12/2025
7314;CINTA ADHESIVA HIPOALERGENICA X 2.5 CM;715.00;19/12/2025
7315;CINTA ADHESIVA HIPOALERGENICA X 5 CM;1,239.66;19/12/2025
LIB1;Cinta correctora 5mm;0.00;19/12/2025
LIB 510;Cinta de papel;0.00;19/12/2025
9018;CINTA DE SEDA X 2,5 CM;2,006.00;19/12/2025
7365;CINTA HILERA X ROLLO;9,408.00;19/12/2025
9108;CINTA HIPAFIX 10 X 10;0.00;19/12/2025
10699;CINTA HIPAFIX 5 CM;0.00;19/12/2025
19CINTAHIPO2,5CM;CINTA HIPOALERGENICA 2,5 CM. MICROPORE - 3M;27,126.00;10/2/2026
CINMA;CINTA HIPOALERGENICA MACROPORE 5 CM;1,693.32;19/12/2025
220;CINTA HIPOALERGÉNICA MICROPORE 5CM;1,155.66;19/12/2025
10556;Cinta Kinesiológica para vendaje neuromuscular spider tech CINTA KIN ADH BLIST 5X5BEIGE;0.00;19/12/2025
10910;Cinta tela adhesiva impermeable 2.5 cmx9mt;1,783.96;19/12/2025
10457;CINTA TRANSPORE 2,5CM;2,220.68;19/12/2025
10458;CINTA TRANSPORE 5CM;1,955.80;19/12/2025
D-128;CINTAS DE SEDA 5cm;3,990.96;19/12/2025
C011;CIRCUITO ARM A DEFINIR;0.00;19/12/2025
8899;CIRCUITO CERRADO  14 FR REF. 22103-5 HALYRAD 30,5CM;17,176.28;19/12/2025
1026;CIRCUITO CERRADO 14 FR REF. 221-5 HALYRAD 30,5cm AVANOS;40,079.60;19/12/2025
C013;CIRCUITO CERRADO DE ASPIRACION A DEFINIR;0.00;19/12/2025
10982;CIRCUITO MONORAMA PARA ASTRAL 150;0.00;19/12/2025
4658;CIRCUITO P/ RESPIRADOR PEDIÁTRICO UNIVERSAL C/ 2 TRAMPAS DE AGUA;48,111.30;19/12/2025
10553;CIRCUITO PARA RESPIRADOR ADULTO;0.00;19/12/2025
11116;CLARITROMICINA 250 ML;0.00;19/12/2025
10670;Clear therm 3 hmef with luer port and retanaible cap.;0.00;19/12/2025
LIB 27;Clips N°3, caja de 100 unidades;0.00;19/12/2025
LIB14;Clips N°6, 48mm. caja de 50 unidades;0.00;19/12/2025
M-02;CLOBAZAM 10 MG;0.00;19/12/2025
11120;Clorandenicol crema x 30g;0.00;19/12/2025
11902;CLORHEXIDINA 2% X 500;6,688.14;19/12/2025
7366;CLORHEXIDINA 4% 1 L;25,848.52;19/12/2025
489;CLORHEXIDINA 4% 250ML;9,847.20;19/12/2025
961;CLORHEXIDINA 4% X 500ML;17,758.00;19/12/2025
CLOR;CLORHEXIDINA JABONOSO X 1 LITRO;28,096.34;19/12/2025
221;CLORHEXIDINA SPRAY 60ML;9,587.24;19/12/2025
10795;Clorhidrato cefepime x 2 gr;0.00;19/12/2025
10459;CLOTRIMAZOL CREMA;4,469.40;19/12/2025
7399;CODO GIRATORIO CON TUBO;0.00;19/12/2025
9102;COFIA;0.00;19/12/2025
8565;COLAGEN-CLORANF UNG X 50GR;0.00;19/12/2025
12022;COLLARIN PEDIATRICO;3,600.00;19/12/2025
7317;COLLARINES ;3,336.00;19/12/2025
11201;COLLARINES AURICO PEDIATRICOS;6,927.12;19/12/2025
10460;COLLARINES AURINCO;10,955.00;19/12/2025
9061;COLLARINES YAFHO;5,838.04;19/12/2025
INSU 1020;COLLARINES YAFHO PEDIATROCO;0.00;19/12/2025
10913;COMPRESAS ABSORVENTES ANTIMICROBIANAS 5X5 PARA BOTON GASTIRCO COVIDIEN;0.00;19/12/2025
10914;COMPRESAS ABSORVENTES ANTIMICROBIANAS PARA TQT 10X10 COVIDIEN;0.00;19/12/2025
1025;CONECTOR DE OXIGENO PARA RESPIRADOR PB 560-ASTRAL-STELLAR/LUISA;0.00;19/12/2025
7367;CONECTOR DE TUBO T;0.00;19/12/2025
10461;CONECTOR OXIGENO P-52 511 FAB ;3,757.26;19/12/2025
2388;CONECTOR RECTO RESPIRADOR;0.00;19/12/2025
10462;CONECTOR T CON PROLONGACION ;0.00;19/12/2025
7383;CONJUNTO DE ALIMENTACION CONTINUA;0.00;19/12/2025
7382;CONJUNTO DE ALIMENTACION POR BOLO;0.00;19/12/2025
D-50;CONTENEDOR PARA ALIMENTACION ENTERAL X750;1,565.60;19/12/2025
LIB2;Corrector líquido;0.00;19/12/2025
LIB 127;Corrector pincel;0.00;19/12/2025
11113;CORTEROID BETAMETASONA 30 ML;8,061.38;19/12/2025
10917;Cotonetes x 125;0.00;19/12/2025
11923;CREMA BATICOR COMPLEX X 20 GR;24,628.40;19/12/2025
6525;CREMA NEUTRA PARA MASAJES;0.00;19/12/2025
LIB 116;Cuaderno espiralado tapa rigida 16x21.Hojas rayadas;0.00;19/12/2025
LIB 117;Cuaderno espiralado tapa rígida 22x29cm.Hojas rayadas;0.00;19/12/2025
LIB 129;Cuaderno espiralado tapa semirigida 16x21.Hojas cuadriculadas;0.00;19/12/2025
LIB22;Cuaderno espiralado tapa semirigida 16x21.Hojas rayadas;0.00;19/12/2025
LIB 119;Cuaderno espiralado tapa semirígida 22x29cm.Hojas cuadriculadas;0.00;19/12/2025
LIB78;Cuaderno espiralado tapa semirígida 22x29cm.Hojas rayadas;0.00;19/12/2025
LIB6;Cuaderno tapa flexible x86 hojas;0.00;19/12/2025
499;CUBRE BOTAS;0.00;19/12/2025
O-11;CUBRE COLCHON;0.00;19/12/2025
O-12;CUBRECAMILLA;0.00;19/12/2025
12050;CURITAS ESTERILES 10x15;0.00;19/12/2025
1027;D.M.R PEDIÁTRICO P.B RESUCITADOR;0.00;19/12/2025
10773;DECIDEX COMPUESTO SUSPENCION ORAL;8,782.68;19/12/2025
11001;Dermaglos emulsion 400gr;44,193.18;19/12/2025
D-44;DESCARTADOR 2,2 LTS;0.00;19/12/2025
10463;DESCARTADOR DE AGUJA 1LT;0.00;19/12/2025
483;DESCARTADOR DE AGUJA 4LT;0.00;19/12/2025
10794;Descartador de agujas 0,5 lts;0.00;19/12/2025
DESC;DESCARTADOR DE AGUJAS 7 LTS;0.00;19/12/2025
LIMP7;Desodorante de piso x 4lts;0.00;19/12/2025
LIMP 103;Detergente de 500ml;0.00;19/12/2025
LIMP11;Detergente de 750 ml;0.00;19/12/2025
LIM 131;Detergente Magistral 750ml;0.00;
1566;Detergente Trienzimatico x 1000 cc;0.00;19/12/2025
10950;DEXAMETASONA 8MGX 20 COMPRIMIDOS;0.00;19/12/2025
10958;DEXAMETASONA AMP;0.00;19/12/2025
11004;Dextametasona;0.00;19/12/2025
10756;DIAZEPAN 10 MG;0.00;19/12/2025
11119;DIBEN DRINK VAINILLA 200 ML;0.00;19/12/2025
DICLO;DICLOFENAC AMPOLLA;0.00;19/12/2025
11009;Difenidhamina ampolla;0.00;19/12/2025
LIMP 61;Difusor automatico saphirus;0.00;19/12/2025
10931;Difusor de 500ml;0.00;19/12/2025
10957;DIPIRONA AMP;0.00;19/12/2025
11940;DISADUL PAÑALES XG C/GEL;0.00;19/12/2025
11997;Dispenser de servilletas de toallas intercaladas doble carga con visor;0.00;19/12/2025
11936;DITROPAN JARABE X200 ML;0.00;19/12/2025
10960;DIVALPROATO DE SODIO 500 MG X 60 COMP;0.00;19/12/2025
11114;DOMPERIDONA GOTAS 20 ML;0.00;19/12/2025
LIB91;Drum alternativo  de DCP 1060;0.00;19/12/2025
11933;ECUAMON GOTAS X 20 ML;0.00;19/12/2025
223;EMULSION DERMAGLOS GENERICO 200 ML;18,620.00;19/12/2025
ENALA10;ENALAPRIL 10 MG;0.00;19/12/2025
10922;ENALAPRIL GOTAS X 1 MG;0.00;19/12/2025
1033;Enjuague bucal Plac out x 200ml;16,454.60;9/2/2026
10464;ENJUAGUE BUCAL X 200;0.00;19/12/2025
BB365;ENSURE 800G;0.00;19/12/2025
10465;ENSURE 850;0.00;19/12/2025
3525;ENSURE PLUS DRINK 220 ML;0.00;19/12/2025
10799;ENSURE POLVO VAIN 1200 g ABBOTT;0.00;19/12/2025
11994;Enterogermina Basilusclau ampolla 5ML;0.00;19/12/2025
LIPM 111;Envase con dosificador de 250cm;0.00;19/12/2025
LIMP110;Envase con dosificador de 500cm;0.00;19/12/2025
10769;ERITROMICINA;0.00;19/12/2025
LIMP60;Escobilla para inodoro;0.00;19/12/2025
LIMP47;Escobillón laqueado 8,5 cm base plástica;0.00;19/12/2025
LIMP 101;Escurridor de piso;0.00;19/12/2025
LIMP 104;Escurridor de vidrios con mango alargador;0.00;19/12/2025
MEDE080;ESPESAN LATA X 300 GR.;0.00;19/12/2025
LIB 121;Espiral para encuadernar 12mm x50 unidades;0.00;19/12/2025
LIB 122;Espiral para encuadernar 14mm x50 unidades;0.00;19/12/2025
LIB 120;Espiral para encuadernar 17mm x50 unidades;0.00;19/12/2025
LIB48;Espiral para encuadernar 20 mm x50 unidades;0.00;19/12/2025
LIB103;Espiral para encuadernar 9mm x 50 unidades;0.00;19/12/2025
ESP ANTIBAC;ESPONJA ANTIBACTERIAL;0.00;19/12/2025
LIMP21;Esponja cocina;0.00;19/12/2025
LIMP16;Esponja de acero 15 gr;0.00;19/12/2025
10959;Estestocopio Pediatrico;0.00;19/12/2025
1267;ESTETOSCOPIO;0.00;19/12/2025
10968;EXIBRAL 500;0.00;19/12/2025
1016;Extencion de canula de  10 metros;0.00;19/12/2025
10909;Extensión de cánula de 2 metros;0.00;19/12/2025
10992;Farm X en polvo;0.00;19/12/2025
107550;Fecula/pefume x 250 gr;0.00;19/12/2025
11117;FENTAMICINA SOLUCION 30 ML;0.00;19/12/2025
LIB130;Ficha rayadas n3 .Medidas 200mm x 125mm;3,059.00;12/1/2026
10993;fijación de malla de grampas reabsorbibles;0.00;19/12/2025
LIM;Film Negro Rollo;0.00;19/12/2025
11901;FILTRO /HME , HYGROBAC S - MEDTRONIC;0.00;19/12/2025
9064;FILTRO |GIBECK| HUMID VENT MINI (REF. 10011);7,543.72;19/12/2025
10753;FILTRO AB;0.00;19/12/2025
C010;FILTRO ANTIBACTERIAL A DEFINIR;0.00;19/12/2025
7400;FILTRO BACTERIANO RESPIRADOR;0.00;19/12/2025
FILTRO B-PAP;FILTRO BPAP;0.00;19/12/2025
C012;FILTRO DE RESPIRADOR  A DEFINIR;0.00;19/12/2025
1690;FILTRO ELECTROSTÁTICO PEDIÁTRICO;0.00;19/12/2025
EQ;FILTRO ENTRADA PRISMA;0.00;19/12/2025
FILGIB;FILTRO GIBECK;0.00;19/12/2025
INS 1019;Filtro HME;0.00;19/12/2025
77;Filtro HME para respirador artificial 2;0.00;19/12/2025
FILTRO;FILTRO HMEF C/PTO LUER LOCK REF 70313;0.00;19/12/2025
C006;FILTRO HUMIFICADOR A DEFINIR;0.00;19/12/2025
7368;FILTRO HUMIFICADOR DE TQT PEDIATRICO;0.00;19/12/2025
9019;FILTRO P/ASPIRADOR SILFAB;7,949.58;19/12/2025
FIL ASP;FILTRO PARA ASPIRADOR DE SECRECIONES;0.00;19/12/2025
1032;FILTRO PARA TRAQUEOSTOMIA CON PUERTO DE OXIGENO;0.00;19/12/2025
3625;FILTRO PARA UNIDAD DE SUCCIÓN 7305 DEVILBISS;0.00;19/12/2025
11915;FILTRO PEDIATRICO CON PUERTO DE OXIGENO HME;0.00;19/12/2025
9062;FILTRO TRACHEOLIFE III C/APORTE DE O2 353(19004);4,192.10;19/12/2025
10789;Filtro trasero PB560 original;0.00;19/12/2025
7388;FILTRO VIRAL BACTERIAL C/ PORT (GALEMED);2,366.94;19/12/2025
10559;FILTROS CONVIDEN 350/5879;4,171.50;19/12/2025
12053;FILTROS HUMID P/TRAQUEO  HYDRO-TRACH MK II HME - REF. 1873000;0.00;19/12/2025
9122;FILTROS HUMID P/TRAQUEO TRACH-VENT ( REF. 41312);7,156.80;19/12/2025
10600;FILTROS HUMID VENT 11012;10,083.70;19/12/2025
10650;FILTROS PARA TRAQUEOTOMÍA HME (TIPO GIBECK REF.41313);0.00;19/12/2025
10841;FILTROS PEDIATRICO HUDSON - GIBECK HME/F (11012);0.00;19/12/2025
230;FILTROS TRAQUEO COVIDIENT DAR;7,953.66;19/12/2025
LIMP109;Foco luz fria;0.00;19/12/2025
LIB11;Folios A4 pack de 100 unidades;0.00;19/12/2025
LIB29;Folios oficio pack de 100 unidades;0.00;19/12/2025
10303;FORMULA CETOGENICA EN POLVO KETOCAL 4,1 EN POLVO X 300Grs;0.00;19/12/2025
9065;FORTISIP MAX |NUTRICIA BAGO| LIBRE DE GLUTEN X 700GR;0.00;19/12/2025
LIMP14;Franela de 40X50 cm;0.00;19/12/2025
7545;FRASCO ASPIRADOR/NEBULIZADOR;33,726.32;19/12/2025
C015;FRASCO DE ALIMENTACION A  DEFINIR;0.00;19/12/2025
12004;FRASCO DE HIDRATACION;0.00;19/12/2025
7391;FRASCO UROCULTIVO ESTERIL 120 CC;0.00;19/12/2025
10680;FRASCO XILOCAINA ESTERIL;0.00;19/12/2025
10466;FRASCOS DE ALIMENTACION PICO CRUZ X 500;1,222.00;19/12/2025
7406;FREBINI ENERGY DRINK FIBRA FRUTILLA 200;15,400.00;19/12/2025
7407;FREBINI ENERGY DRINK FIBRA VAINILLA 200;0.00;19/12/2025
10761;FREBINI ORIGINAL 500 ML;21,355.80;19/12/2025
4547;FRESUBIN 2KCAL CREME ;0.00;19/12/2025
4546;FRESUBIN FIBRA POLVO X 400;51,269.28;19/12/2025
11929;Fresubin original fibra 1000ml;0.00;19/12/2025
00000010;FRESUBIN ORIGINAL X 1000 ML;0.00;19/12/2025
9117;FURACIN X 500 ML;31,144.00;19/12/2025
10940;Furosemida 40 mg x 30 comp;0.00;19/12/2025
10762;FUSIMED CREMA;17,726.24;19/12/2025
1957;GAFAS DE PROTECCIÓN;0.00;19/12/2025
9066;"GASA  EXCILON AMD 10X10CM (4""X4"")";2,066.36;19/12/2025
BB108;GASA 10 X 10  1KG;18,334.00;19/12/2025
BB107;GASA 15 X 15  1KG;18,334.00;19/12/2025
7318;GASA 20 X 20  1 KG;18,334.00;19/12/2025
BB106;GASA 5 X 5  1KG;0.00;19/12/2025
10689;GASA AMD 5,1x5,1cms EXCILON Cod. 7089;0.00;19/12/2025
224;GASA C/NITROFURAZONA 0,2%;1,279.26;19/12/2025
7319;GASA ESTERIL 10 X 10 SOBRE;197.68;19/12/2025
7320;GASA ESTERIL 20 X 20 SOBRE;351.24;19/12/2025
10467;GASA ESTERIL 30 X 30 SOBRE;0.00;19/12/2025
9067;"GASA EXCILON AMD 5X5CM (2""X2"")";822.34;19/12/2025
10775;GASA FENESTRADAS 10X10 KENDAL;0.00;19/12/2025
GASA N/TEJIDA 10X10;GASA NO TEJIDA 10X10;250.50;19/12/2025
10101;GASA NO TEJIDA 5X5;81.36;19/12/2025
10468;GASA NO TEJIDA 7,5X7,5;0.00;19/12/2025
10978;GASA P/ TQT REF 687149 YAFO FENEST;0.00;19/12/2025
517;GASA PIEZA TUBULAR X 1,5 KG;0.00;19/12/2025
9093;GASA SINTETICA CURITY  7,5 X 7,5 CM - KENDALL;447.02;19/12/2025
9068;GASA SINTETICA CURITY VERSALON 10X10 ;460.12;19/12/2025
GASA TROZADA;GASA TROZADA 30 X 30 X 1 KG;0.00;19/12/2025
GAS03;Gasa vaselinada;0.00;19/12/2025
501;GASAS ESTERILES EN SOBRE  15 X 15 CM;0.00;19/12/2025
D-125;GASAS ESTERILES NO TEJIDAS 10 X 10 YAFHO;1,200.00;19/12/2025
GAEXC;GASAS EXCILON AMD 10,2CM X 10,2CM;0.00;19/12/2025
225;GASAS IODOFORMADAS 10 X 10 CM;0.00;19/12/2025
12023;GASAS PARAFINADAS 10X10;0.00;19/12/2025
10669;GASAS TRAQUEO ESTERIL X 2 SPONGES ANTIMICROBIAL (5X5CM);0.00;19/12/2025
486;GEL  ALGINATO DE CALCIO;0.00;19/12/2025
BB-65;GLUCERNA POLVO LATA 400G;0.00;19/12/2025
A-16;GLUCERNA RTH  X 1000 ML;0.00;19/12/2025
M-18;GLUCOSADA HIPERTONICA 10mg;0.00;19/12/2025
LIB15;Goma de borrar;0.00;19/12/2025
LIM26;Goma de borrar para lápiz/tinta;0.00;19/12/2025
10569;GUANTE DE NITRILO ESTERIL SIN POLVO 300MM;0.00;19/12/2025
485;GUANTE DE POLIETILENO MANOPLA (100UNID);0.00;19/12/2025
10701;GUANTE ESTERIL 6.5;0.00;19/12/2025
11991;GUANTE ESTERIL Nº 6;499.02;19/12/2025
BB125;GUANTE ESTERIL Nº 7;554.48;19/12/2025
11993;GUANTE ESTERIL Nº 7 (Free Latex);0.00;19/12/2025
9023;GUANTE ESTERIL Nº 7,5;554.48;19/12/2025
11992;GUANTE ESTERIL Nº 7.5 (Free Latex);0.00;19/12/2025
7354;GUANTE ESTERIL Nº 8;554.48;19/12/2025
GUA VIN;GUANTE VINILO L;0.00;19/12/2025
7805;GUANTE VINILO M;0.00;19/12/2025
10469;GUANTE VINILO S;0.00;19/12/2025
BB100;GUANTES DE EXAMINACION M X 100;6,520.00;19/12/2025
7336;GUANTES DE EXAMINIACION L X 100;6,520.00;19/12/2025
7335;GUANTES DE EXAMINIACION S X 100;6,520.00;19/12/2025
LIMP28;Guantes de limpieza tamaño M;0.00;19/12/2025
4523;GUANTES DE NITRILO X100;7,156.00;19/12/2025
LIMP22;Guantes Mediano;0.00;19/12/2025
10700;Guantes por unidad;0.00;19/12/2025
GUIA ALIM;GUIA BOMBA ALIMENTACION;0.00;19/12/2025
C014;GUIA DE ALIMENTACION  A DEFINIR;0.00;19/12/2025
10796;Guía fotosensible;0.00;19/12/2025
511;GUIA MACRO GOTERO  (V-14);389.34;19/12/2025
10782;GUIA MACRO GOTERO  (V-14) K-KAUTION;389.34;19/12/2025
10470;GUIA MACRO GOTERO  (V-14) NOVAMED;416.12;19/12/2025
C020;GUIA MACROGOTERO A DEFINIR;0.00;19/12/2025
238;GUIA MACROGOTERO C/AGUJA TIPO V-13;0.00;19/12/2025
5100;GUÍA MICROGOTERO  (V-17);0.00;19/12/2025
GUI;GUIA PARA BOMBA ARGIMED P/BIGMAX PM973-009;0.00;19/12/2025
D-64;GUIA PARA BOMBA DE ALIMENTACION KANGAROO 324;8,808.56;19/12/2025
GUIAALPUN;GUIA PARA BOMBA KANGAROO EPUMP REF 775659;9,859.16;19/12/2025
10550;GUIAS DE ALIMENTACION B14;397.58;19/12/2025
12052;GUIAS DE ALIMENTACION KOLER SN-100;0.00;19/12/2025
LIMP24;Harpic power plus x 500ml;0.00;19/12/2025
228;HEPARINA SODICA 5 ML;16,000.00;4/2/2026
M-19;HIDROCORTISONA AMP 500ML;0.00;19/12/2025
10714;HIDROGEL HODROCOLOIDE COLOPLAST COMFEEL PURILOM GEL 15G;0.00;19/12/2025
11913;HIERRO POLIMALTOSATO SOLUC;0.00;19/12/2025
10955;HIOSCINA AMP;0.00;19/12/2025
11118;HIPOGLOS TALCO X 40 GR;22,687.80;19/12/2025
10202;Hisopos;0.00;19/12/2025
10681;HME ADULTO TQT COVIDIEN DAR TM;0.00;19/12/2025
BIS;HOJA BISTURI N° 22;0.00;19/12/2025
10906;HOJAS DE BISTURI N°11;0.00;19/12/2025
11008;Ibuprofeno 600;0.00;19/12/2025
10805;Ibuprofeno comp x 10;0.00;19/12/2025
10764;IBUPROFENO PEDIATRICO 4%;2,065.46;19/12/2025
10901;Improval 500;0.00;19/12/2025
12019;INMOVILIZADOR DE CODO;0.00;19/12/2025
LIM 130;Insecticida mata cucarachas x 390cc;5,017.92;22/1/2026
LIMP23;Insectisida en aerosol 360cc;0.00;19/12/2025
229;IODOPOVIDONA 10% 100 ML;10,248.50;19/12/2025
7369;IODOPOVIDONA 10% X 1 LITRO ;28,926.40;19/12/2025
508;IODOPOVIDONA 10% X 250 ML;13,381.68;19/12/2025
7326;IODOPOVIDONA 10% X 500 CC;21,852.40;19/12/2025
9024;IODOPOVIDONA 5% SOLUCION JABONOSA 1LITRO;0.00;19/12/2025
10471;IODOPOVIDONA 5% SOLUCION JABONOSA 500 CC;0.00;19/12/2025
10472;IODOPOVIDONA 5% SOLUCION JABONOSA X 250 CC;15,542.70;19/12/2025
10915;Iodopovidona de 60cc;0.00;19/12/2025
C004;IRUXOL con auditoria medica x fcia de red;0.00;19/12/2025
M-07;IRUXOL UNG 50 GRS;117,395.28;19/12/2025
IRUXOL;IRUXOL UNGUENTO 200 GRS;0.00;19/12/2025
M-26;IRUXOL UNGUENTO X 30 GR;70,833.10;19/12/2025
LIM 128;Jabon liquido x 1l;0.00;19/12/2025
LIMP19;Jabón liquido x 250ml;0.00;19/12/2025
LIMP 99;JABON TOCADOR;938.51;23/1/2026
10916;Jarra humificadora descartable;38,167.68;19/12/2025
490;JERINGA  1ML CON AGUJA;0.00;19/12/2025
7355;JERINGA 1 ML TUBERCULINA;67.06;19/12/2025
512;JERINGA 10 ML;117.06;19/12/2025
513;JERINGA 20 ML;174.52;19/12/2025
7356;JERINGA 3 ML;70.00;19/12/2025
514;JERINGA 5 ML;80.80;19/12/2025
515;JERINGA 50/60 ML;474.58;19/12/2025
12040;JERINGA 60 ML PUNTA LUER LOCK;479.98;19/12/2025
7331;JERINGA INSULINA;0.00;19/12/2025
7332;JERINGA THOOMEY - PICO ANCHO 60CM;478.00;19/12/2025
234;JERINGAS 10 ML PUNTA LUER LOCK;0.00;19/12/2025
235;JERINGAS POSIFLUSH 3ML;0.00;19/12/2025
00011;JEVITY PLUS 1000 ML;0.00;19/12/2025
10912;JEVITY RTH x 1000ml ABBOTT;0.00;19/12/2025
3696;KIT COVID (CAMISOLIN-BOTAS-COFIA);782.80;19/12/2025
10751;KIT DESCARTABLE OXIGENO;0.00;19/12/2025
10730;KIT NEBULIZACIONES P/ TQT HUDSON REF. 1882;0.00;19/12/2025
11014;Kit sonda aspiracion G-33 MOD G3335K - N&G;0.00;19/12/2025
11932;LACLORHEX JABON LIQUIDO X 250 ML;0.00;19/12/2025
10759;LACTULOM JARABE.;0.00;19/12/2025
LIM 122;Lana de acero (Virulana ).Pack de 10 unidades;0.00;19/12/2025
10732;LANOLINA VASELINA UNG. OFT. 3,5 GR;0.00;19/12/2025
LIB41;Lapicera azul trazo grueso x50 unidades;0.00;19/12/2025
LIB40;Lapicera negra trazo grueso x50 unidades;0.00;19/12/2025
LIB9;Lapicera roja x unidad;0.00;19/12/2025
LIB53;Lapicera trazo fino azul x unidad;0.00;19/12/2025
LIB38;Lapicera trazo fino azul x50 unidades;0.00;19/12/2025
LIB50;Lapicera trazo fino negra x unidad;0.00;19/12/2025
LIB39;Lapicera trazo fino negra x50 unidades;0.00;19/12/2025
LIB52;Lapicera trazo grueso azul x unidad;0.00;19/12/2025
LIB51;Lapicera trazo grueso negra x unidad;0.00;19/12/2025
LIB25;Lápiz;0.00;19/12/2025
LIB42;Lápiz corrector (borra tinta)  7ml.;0.00;19/12/2025
127;Lapiz Negro;0.00;19/12/2025
LIB;Lapìz negro;0.00;19/12/2025
LIMP8;Lavandina en gel 700 ml.;0.00;19/12/2025
LIMP9;Lavandina líquida 1 lt.;0.00;19/12/2025
10473;LECHE BIFIDOSA 500 ;0.00;19/12/2025
1266;LECHE FORTINI 400GR;55,025.80;19/12/2025
10601;LECHE KASS 1000 DESLACTOSASA;0.00;19/12/2025
10698;LECHE LACTOPTROTEYN X 250 GR;0.00;19/12/2025
7435;LECHE NAN  SIN LACTOSA X 400GRS;0.00;19/12/2025
10976;LECHE NEOCATE LATA 400GR;0.00;19/12/2025
NUTRI 2;LECHE NUTRILON 2 PROFUTURA 800GR;54,019.00;19/12/2025
10474;LECHE NUTRILON PRO EXPERT X 800GRS;0.00;19/12/2025
NUTRI 1;LECHE NUTRILON PROFUTURA 1 x 800GR;0.00;19/12/2025
10989;LECHE NUTRILON SIN LACTOSA X 800 GR;0.00;19/12/2025
10776;Leche Peti Junior x400;0.00;19/12/2025
10755;Leche sancor bebe 2 x 200ml;0.00;19/12/2025
10475;LECHE SANCOR BEBE 2 X 500 ML;0.00;19/12/2025
7436;LECHE SANCOR BEBE 2 X 800 GR;0.00;19/12/2025
10540;LECHE SANCOR BEBE 3 X 1LT;0.00;19/12/2025
10476;LECHE SANCOR BEBE 3 X 800 GR;0.00;19/12/2025
10554;LECHE SUSTENTA JUNIOR SIN LACTOSA X 400GR;0.00;19/12/2025
A-09;LECHE VITAL  Nº 3 DE 800 G;0.00;19/12/2025
9094;LECHE VITAL N° 1 DE 800 G;0.00;19/12/2025
9095;LECHE VITAL N° 2 DE 800 G;0.00;19/12/2025
10477;LECHE VITAL N° 3 DE 200ML;0.00;19/12/2025
10478;LECHE VITAL N°3 X 250ML;0.00;19/12/2025
10658;LECHE VITAL RR 350GR;0.00;19/12/2025
LIB37;Lenguetas para carpetas colgantes;0.00;19/12/2025
516;LIDOCAINA 2% 25 ML;5,504.60;19/12/2025
9165;LIDOCAINA 50ML;8,542.82;19/12/2025
9026;LIMPIADOR PIEL COLOPLAST X 180 REF 4710;0.00;19/12/2025
10979;Linea doble rama Pediatrico ASTRAL (original);0.00;19/12/2025
12013;Línea Pac doble rama Airox adulto;0.00;19/12/2025
7401;LINEA PAC DOBLE RAMA AIROX PEDIATRICA;0.00;19/12/2025
10479;LLAVE  3 VIAS CON PROLONGADOR 50CM;0.00;19/12/2025
LLA;LLAVE 3 VIAS;550.48;19/12/2025
D-76;LLAVE DE 3 VIAS C/ PROLONGADOR 30 CM;0.00;19/12/2025
97;LOGISTICA RECARGA TUBO BACK UP;0.00;19/12/2025
99;LOGISTICA RECARGA TUBO DE 6 MTS;0.00;19/12/2025
10772;LORATADINA PEDIATRICA;0.00;19/12/2025
LIMP17;Lysoform aerosol original 360 CC.;0.00;19/12/2025
LIB44;Macador al agua;0.00;19/12/2025
9083;MACRIL |ANDRÓMACO|CREMA X 20GR;0.00;19/12/2025
1956;MAMELUCO DESCARTABLE NO ESTÉRIL;0.00;19/12/2025
1018;MANGUERA CRISTAL X 4 METROS 1 UNIDAD;0.00;19/12/2025
10900;Manguera de succion para aspirador x mts;0.00;19/12/2025
1034;MANOMETRO;0.00;
10985;MANOMETRO PARA MEDICION DE LA PRESION DEL BALON DE TQT;0.00;19/12/2025
LIB18;MARCADOR INDELEBLE NEGRO PUNTA BISELADA;0.00;19/12/2025
LIB 106;Marcador para pizarra azul;0.00;19/12/2025
LIB 132;Marcador para pizarra negro;998.28;22/1/2026
LIB 105;Marcador para pizarra rojo;0.00;19/12/2025
LIB 107;Marcador para pizarra verde;0.00;19/12/2025
LIB7;Marcador permanente punta fina;0.00;19/12/2025
