Cód. Producto;Producto;costo;ultima actualizacion de precio
SANUP-59;CAMA ELECTRICA (SA) RESP FORMICA CROMADO;0.00;19/12/2025
12059;CAMARA HUMIFICADORA DE ATOLLENADO -INTER SUR GICAL;0.00;19/12/2025
5825;CAMARA PARA TERMOHUMIDIFICADOR;0.00;19/12/2025
9101;CAMISOLIN;0.00;19/12/2025
CAMP ESTE;CAMPO ESTERIL;1,131.76;19/12/2025
7409;CAMPO ESTERIL  KOLER CQ-58;0.00;19/12/2025
10568;CAMPO FENESTRADO;0.00;19/12/2025
LIMP 108;Canasta para inodoro completa;0.00;19/12/2025
10401;CANULA 11 DE TRAQUEOTOMIA RUSCH CON BALON;0.00;19/12/2025
5051;CANULA 2.5 SIN BALÓN SHILEY;0.00;19/12/2025
10402;CANULA 3.0 CON BALON AURINCO;0.00;19/12/2025
2010;CANULA 3.0 CON BALON SHILEY;0.00;19/12/2025
10403;CANULA 3.0 CON BALON WELL LEAD;0.00;19/12/2025
218;CANULA 3.0 SIN BALON AURINCO;34,527.60;19/12/2025
219;CANULA 3.0 SIN BALON SHILEY;51,324.90;19/12/2025
10404;CANULA 3.0 SIN BALON WELL LEAD;0.00;19/12/2025
10405;CANULA 3.5 CON BALON AURINCO;31,435.60;19/12/2025
2011;CANULA 3.5 CON BALON SHILEY;57,989.20;19/12/2025
10406;CANULA 3.5 CON BALON WELL LEAD;0.00;19/12/2025
10407;CANULA 3.5 SIN BALON AURINCO;35,132.00;19/12/2025
2012;CANULA 3.5 SIN BALON SHILEY;49,829.40;19/12/2025
11050;CANULA 3.5 SIN BALON SHILEY NEONATAL;0.00;19/12/2025
10408;CANULA 3.5 SIN BALON WELL LEAD;0.00;19/12/2025
7385;CANULA 3.5 TIPO SILMAG;0.00;19/12/2025
10409;CANULA 3.5 TRAQUEOTOMIA PORTEX SIN BALON ;0.00;19/12/2025
4840;CANULA 4.0 CON BALON AURINCO;23,584.94;19/12/2025
9615;CANULA 4.0 CON BALON SHILEY;65,464.74;19/12/2025
10410;CANULA 4.0 CON BALON WELL LEAD;0.00;19/12/2025
